board,company,title,location,url,source,ats,id,pay,benchmark
cake,群翊工業股份有限公司,軟體工程師,"楊梅區, 桃園市, 台灣",https://www.cake.me/companies/gpline-index_tw-php/jobs/9c0e5ae9-0a20-4e82-8376-1e83119a2405-software-engineer-d858d7937d8af7f6d4f172efa9b75e,cake,sqlite,9c0e5ae9-0a20-4e82-8376-1e83119a2405-software-engineer-d858d7937d8af7f6d4f172efa9b75e,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,聖勝科技有限公司,系統監控運維工程師 DevOps Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/st-win/jobs/devops-engineer-ecd3ec,cake,sqlite,devops-engineer-ecd3ec,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,聚典資訊 Ret[AI]ling Data,AI系統工程師-學生實習 AI System Engineer(Intern),"台北市, 台灣",https://www.cake.me/companies/ret-ai-ling-data/jobs/22b97f,cake,sqlite,22b97f,Hourly Wage TWD 200~250,market: interns typically NT$200-250/hour or a fixed monthly stipend
cake,股感媒體科技股份有限公司,前端工程師,"松山區, 台北市, 台灣",https://www.cake.me/companies/stockfeel/jobs/ef662f85-239e-424c-964e-c581921309b1-front-end-engineer-6f651d20692a96e3be427efaf017e6,cake,sqlite,ef662f85-239e-424c-964e-c581921309b1-front-end-engineer-6f651d20692a96e3be427efaf017e6,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,艾捷科技,後端工程師(golang),"台中市, 台灣",https://www.cake.me/companies/7b9/jobs/backend-engineer-42f,cake,sqlite,backend-engineer-42f,Monthly Salary TWD 40000~80000,market: no benchmark for this role family
cake,艾旅國際旅行社(股)公司,資深AI應用暨系統整合工程師,"大安區, 台北市, 台灣",https://www.cake.me/companies/5d7/jobs/ai-product-project-manager,cake,sqlite,ai-product-project-manager,Monthly Salary TWD 65000~80000,market: no benchmark for this role family
cake,芮可企管顧問股份有限公司,【台中后里】8H週休二日●薪40K-45K●設備拆裝機助理工程師,"后里區, 台中市, 台灣",https://www.cake.me/companies/0c0/jobs/taichung-houli-8-hour-shift-2-days-off-per-week-salary-40k-50k-equipment-disassembly-and-asse,cake,sqlite,taichung-houli-8-hour-shift-2-days-off-per-week-salary-40k-50k-equipment-disassembly-and-asse,Monthly Salary TWD 40000~45000,market: no benchmark for this role family
cake,英屬維京群島商拿鐵科技股份有限公司,AI 應用工程師,"神岡區, 台中市, 台灣",https://www.cake.me/companies/cakeresume-me-lattek/jobs/ai-application-engineer-b6f,cake,sqlite,ai-application-engineer-b6f,not stated,market: no benchmark for this role family
cake,英屬開曼群島科絡達集團 佳駿科技股份有限公司,資深軟體工程師（Senior Software Engineer）,"仁武區, 高雄市, 台灣, 松山區, 台北市, 台灣",https://www.cake.me/companies/carota-ai-egk-egk/jobs/senior-software-engineer-2554d3,cake,sqlite,senior-software-engineer-2554d3,Monthly Salary TWD 70000.0~90000.0,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,華城電機股份有限公司,BMS演算法工程師(南港),"南港區, 台北市, 台灣",https://www.cake.me/companies/fortune/jobs/taipei-battery-optimization-expert-engineer,cake,sqlite,taipei-battery-optimization-expert-engineer,not stated,market: no benchmark for this role family
cake,華捷智能股份有限公司 Berry AI,Machine Learning Team Lead,"內湖區, 台北市, 台灣",https://www.cake.me/companies/berryai/jobs/machine-learning-team-lead-2026,cake,cake,machine-learning-team-lead-2026,Annual Salary TWD 1600000~2500000,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
cake,華捷智能股份有限公司 Berry AI,Senior Machine Learning Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/berryai/jobs/senior-machinelearning-engineer-2026,cake,cake,senior-machinelearning-engineer-2026,Annual Salary TWD 1200000~2000000,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)"
cake,華捷智能股份有限公司 Berry AI,Senior Platform & System Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/berryai/jobs/senior-platformandsystem-engineer-2026,cake,cake,senior-platformandsystem-engineer-2026,Annual Salary TWD 1200000~2000000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,華捷智能股份有限公司 Berry AI,Senior Software Engineer (Full-Stack / Backend),"內湖區, 台北市, 台灣",https://www.cake.me/companies/berryai/jobs/senior-full-stack-engineer-SW-2026,cake,sqlite,senior-full-stack-engineer-SW-2026,Annual Salary TWD 1500000~2000000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,華星光通科技股份有限公司,研發設計－自動光學檢測 AOI研發工程師,"中壢區, 桃園市, 台灣",https://www.cake.me/companies/52f/jobs/af9ab240-494c-48c8-86da-c55e5db53c3f-research-and-development-design-8eea83aefda3a1dd6ea0cdc46cbfed,cake,cake,af9ab240-494c-48c8-86da-c55e5db53c3f-research-and-development-design-8eea83aefda3a1dd6ea0cdc46cbfed,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,萬家福 / 樂家康_康達盛通生活事業股份有限公司,總公司 Java Engineer,"北投區, 台北市, 台灣",https://www.cake.me/companies/carrefour/jobs/java-engineer-at-head-office,cake,sqlite,java-engineer-at-head-office,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,蓋亞資訊有限公司,AI Training 工程師,"內湖區, 台北市, 台灣",https://www.cake.me/companies/gaia-net/jobs/ai-training-engineer,cake,cake,ai-training-engineer,not stated,market: no benchmark for this role family
cake,蓋亞資訊有限公司,雲端技術助理工程師 Junior Cloud Technical Assistant Engineer,"內湖區, 台北市, 台灣",https://www.cake.me/companies/gaia-net/jobs/cloud-technical-assistant-engineer,cake,sqlite,cloud-technical-assistant-engineer,Monthly Salary TWD 36000.0~43000.0,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,街口電子支付股份有限公司,資深資料科學家 | Senior Data Scientist,"松山區, 台北市, 台灣",https://www.cake.me/companies/jkopay/jobs/senior-data-scientist-202,cake,cake,senior-data-scientist-202,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)"
cake,街口電子支付股份有限公司,軟體測試開發工程師｜SDET,"松山區, 台北市, 台灣",https://www.cake.me/companies/jkopay/jobs/software-development-engineer-in-test-sdet-01a63e,cake,sqlite,software-development-engineer-in-test-sdet-01a63e,Annual Salary TWD 900000,market: no benchmark for this role family
cake,裕順資訊有限公司,Backend Software Engineer,"松山區, 台北市, 台灣",https://www.cake.me/companies/richwell/jobs/backend-software-engineer-6c3414,cake,sqlite,backend-software-engineer-6c3414,Monthly Salary TWD 100000~170000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,詮鼎科技股份有限公司,FAE應用工程師 -Richtek_MRQ202603000007,"南港區, 台北市, 台灣",https://www.cake.me/companies/wpgholdings-aitg/jobs/7a98cf4e-aefe-412d-9a66-01bdc610d527-fae-application-engineer-richt-31592c848cce9c4f60d8d58abf8ca6,cake,cake,7a98cf4e-aefe-412d-9a66-01bdc610d527-fae-application-engineer-richt-31592c848cce9c4f60d8d58abf8ca6,not stated,market: no benchmark for this role family
cake,詮鼎科技股份有限公司,電源驗證工程師(DC/DC)-MPS,"南港區, 台北市, 台灣",https://www.cake.me/companies/wpgholdings-aitg/jobs/469e17c0-155a-423c-8b55-be0b5330311c-power-supply-verification-engine-7cf75c8ff70885da77f243f59bed3c,cake,cake,469e17c0-155a-423c-8b55-be0b5330311c-power-supply-verification-engine-7cf75c8ff70885da77f243f59bed3c,Monthly Salary TWD 35000~40000,market: no benchmark for this role family
cake,誠品生活股份有限公司,【誠品團隊】AI Platform Engineer（平台工程）,"信義區, 台北市, 台灣",https://www.cake.me/companies/eslitespectrum/jobs/eslite-team-ai-platform-engineer,cake,sqlite,eslite-team-ai-platform-engineer,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,諾克思股份有限公司,初階雲端工程師 (Cloud Engineer ),"內湖區, 台北市, 台灣",https://www.cake.me/companies/nyx/jobs/cloud-engineer-cloud-engineer,cake,sqlite,cloud-engineer-cloud-engineer,Annual Salary TWD 650000~950000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,財團法人生物技術開發中心,Research Fellow,"南港區, 台北市, 台灣, 台北市, 台灣",https://www.cake.me/companies/c99/jobs/e2098821-c86c-43f1-86cf-d7238f99ebb5-research-fellow-6f6fbf01839a9d3ea89038c915f530,cake,sqlite,e2098821-c86c-43f1-86cf-d7238f99ebb5-research-fellow-6f6fbf01839a9d3ea89038c915f530,Monthly Salary TWD 0~0,market: no benchmark for this role family
cake,財報狗資訊股份有限公司,網站後端工程師 Backend Engineer（初階／中階）,"台北市, 台灣, 台灣",https://www.cake.me/companies/statementdog/jobs/rails-backend-engineer-009,cake,sqlite,rails-backend-engineer-009,Annual Salary TWD 840000~1400000,"market: ~NT$80,000-120,000/month for software engineers in Taipei"
cake,辛耘企業股份有限公司,【湖口】AI軟體開發工程師_F06D51,"湖口鄉, 新竹縣, 台灣",https://www.cake.me/companies/scientech/jobs/1179fb57-84a4-4138-acca-d8dd25a50656-hukouai-software-development-e-30f4c6a78aea2ed921f5f2c49931d9,cake,sqlite,1179fb57-84a4-4138-acca-d8dd25a50656-hukouai-software-development-e-30f4c6a78aea2ed921f5f2c49931d9,not stated,market: no benchmark for this role family
