verdict,tier,company,title,location,url,source,ats,id,pay,pay_junk,benchmark,family,timing,intern_kind,watchlist,agency,oem,score,fit_pos,fit_neg,fit_margin,cv_variant,reasons
keep,B,AIFT,"Security Research Engineer, Cymetrics",臺北市,https://www.yourator.co/companies/aift/jobs/19684,yourator,sqlite,19684,"NT$ 840,000 - 1,200,000 (年薪)",0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",research,ft,,0,0,0,20,0.1832,0,0.1832,ai,"pos=0.183,neg=0.000,margin=0.183"
keep,B,Benzinga,AI Engineer Data APIs,Remote,https://remoteOK.com/remote-jobs/remote-ai-engineer-data-apis-benzinga-1137224,remoteok,sqlite,1137224,not stated,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,0,0,0,5,0.1795,0,0.1795,ai,"pos=0.179,neg=0.000,margin=0.179"
keep,B,玩美行動股份有限公司,Data Analyst 數據分析師,"內湖區, 台北市, 台灣",https://www.cake.me/companies/meitu-740e16/jobs/data-analyst-88a,cake,cake,data-analyst-88a,Monthly Salary TWD 50000~65000,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,20,0.2307,0.0524,0.1784,en,"pos=0.231,neg=0.052,margin=0.178"
keep,B,南山人壽保險股份有限公司,體驗研究員 UX Researcher,"信義區, 台北市, 台灣",https://www.cake.me/companies/nshr-nanshanlife/jobs/ux-researcher-f08,cake,cake,ux-researcher-f08,not stated,0,market: no benchmark for this role family,research,ft,,0,0,0,75,0.1721,0,0.1721,ai,"pos=0.172,neg=0.000,margin=0.172"
keep,B,美商達爾國際有限公司台灣分公司,Data Analyst,"新店區, 新北市, 台灣",https://www.cake.me/companies/129/jobs/da1b1ae4-9e76-479e-9fce-cc069f5e8238-data-analyst-c882c0fa49476dffbee98b8a66ecf2,cake,cake,da1b1ae4-9e76-479e-9fce-cc069f5e8238-data-analyst-c882c0fa49476dffbee98b8a66ecf2,Monthly Salary TWD 0~0,1,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,-5,0.2193,0.0498,0.1695,en,"pos=0.219,neg=0.050,margin=0.170,junk_pay"
keep,B,SHOPLINE 商線科技股份有限公司,【TPD0803】Data Analyst,臺北市,https://www.yourator.co/companies/shopline/jobs/46447,yourator,sqlite,46447,面議（經常性薪資達4萬元）,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,20,0.2158,0.049,0.1668,en,"pos=0.216,neg=0.049,margin=0.167"
keep,B,國泰金控 Cathay Financial Holdings,"資料倉儲工程師 Data Engineer -數據科技科(數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/19814,yourator,sqlite,19814,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1774,0.0132,0.1642,ai,"pos=0.177,neg=0.013,margin=0.164"
keep,B,Lam Research,Business Operations Analyst 2,"台中市, 台灣, 臺中市, 台中市, 台灣",https://www.cake.me/companies/lam-research/jobs/2b54cff0-7d86-4e29-9200-4b9d61bb2bf3-business-operations-analyst-2-56ebaa62156cfced904db2ea7621cf,cake,sqlite,2b54cff0-7d86-4e29-9200-4b9d61bb2bf3-business-operations-analyst-2-56ebaa62156cfced904db2ea7621cf,Monthly Salary TWD 0~0,1,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,-5,0.3161,0.1528,0.1633,en,"pos=0.316,neg=0.153,margin=0.163,junk_pay"
keep,B,Lorex Technology Inc.,Financial Analyst,"新北市, 台灣",https://www.cake.me/companies/www.lorex.ca/jobs/financial-analyst-3d1d69,cake,sqlite,financial-analyst-3d1d69,Monthly Salary TWD 940000.0~1175000.0,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,20,0.2288,0.0681,0.1607,en,"pos=0.229,neg=0.068,margin=0.161"
keep,B,雷亞遊戲 Rayark Inc.,Data Engineer,臺北市,https://www.yourator.co/companies/rayark/jobs/35836,yourator,sqlite,35836,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1506,0,0.1506,ai,"pos=0.151,neg=0.000,margin=0.151"
keep,B,慧景科技thingnario,[RD] 物聯網資料工程師 AIoT Data Engineer (hybrid),臺北市,https://www.yourator.co/companies/thingnario/jobs/40187,yourator,sqlite,40187,"NT$ 1,400,000 - 2,000,000 (年薪)",0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1581,0.0085,0.1496,ai,"pos=0.158,neg=0.009,margin=0.150"
keep,B,Empire Assets,Junior Crypto Analyst & Trader,Remote,https://remoteOK.com/remote-jobs/remote-junior-crypto-analyst-trader-empire-assets-1137307,remoteok,sqlite,1137307,60000-80000,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,15,0.2039,0.0554,0.1485,en,"pos=0.204,neg=0.055,margin=0.148"
keep,B,WebComm 偉康科技,數據工程師 Data Engineer,臺北市,https://www.yourator.co/companies/WebComm/jobs/21459,yourator,sqlite,21459,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1588,0.0118,0.147,ai,"pos=0.159,neg=0.012,margin=0.147"
keep,B,國泰金控 Cathay Financial Holdings,"數據應用工程師 Data Engineer -數據科技科(數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/19724,yourator,sqlite,19724,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1568,0.0129,0.1439,ai,"pos=0.157,neg=0.013,margin=0.144"
keep,B,財團法人生物技術開發中心,Research Fellow,"南港區, 台北市, 台灣, 台北市, 台灣",https://www.cake.me/companies/c99/jobs/e2098821-c86c-43f1-86cf-d7238f99ebb5-research-fellow-6f6fbf01839a9d3ea89038c915f530,cake,sqlite,e2098821-c86c-43f1-86cf-d7238f99ebb5-research-fellow-6f6fbf01839a9d3ea89038c915f530,Monthly Salary TWD 0~0,1,market: no benchmark for this role family,research,ft,,0,0,0,-5,0.1508,0.0077,0.143,ai,"pos=0.151,neg=0.008,margin=0.143,junk_pay"
keep,B,奇翼醫電股份有限公司,臨床研究專員 Clinical Research Specialist,新竹縣,https://www.yourator.co/companies/singularwings/jobs/47653,yourator,sqlite,47653,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,research,ft,,0,0,0,20,0.1481,0.0065,0.1416,ai,"pos=0.148,neg=0.006,margin=0.142"
keep,B,美商昇迪凡科技術有限公司台灣分公司,Data Analyst（長期專案、遠端）,臺北市,https://www.yourator.co/companies/centific/jobs/48258,yourator,sqlite,48258,NT$ 200 - 250 (時薪),0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,20,0.1907,0.0503,0.1403,en,"pos=0.191,neg=0.050,margin=0.140"
