company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
【企業專案招募】104未來無限整合招募中心,AI & Statistical Quality Engineer Intern （AI × 統計方法實習研究員）＿櫛構科技股份有限公司（桃園青年職場對接計畫）,台北市內湖區經歷不拘碩士時薪196元 單的產品能力,https://www.104.com.tw/job/91cxg,104,sqlite,91cxg,時薪196元,market: interns typically NT$200-250/hour or a fixed monthly stipend,research,now_intern,115,ai
Binance,Binance Accelerator Program - AI Research Scientist (LLM Reasoning & Post-Training),"Asia, Taiwan, Taipei, Hong Kong",https://jobs.lever.co/binance/e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,lever:binance,sqlite,e7f93f9f-9e39-4a3f-87e3-4dea1efb79b1,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,now_intern,100,ai
AIFT,"Machine Learning Engineer, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46568,yourator,sqlite,46568,"NT$ 1,300,000 - 1,800,000 (年薪)","market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,85,ai
Cake Recruitment Consulting,(穩定軟體業)Hybrid AI/ML Engineer機器學習工程師– Data Intelligence Platform,"內湖區, 台北市, 台灣",https://www.cake.me/companies/cake-recruitment-consulting/jobs/stable-software-industry-hybrid-ai-ml-engineer-data-intelligence-platform,cake,cake,stable-software-industry-hybrid-ai-ml-engineer-data-intelligence-platform,Annual Salary TWD 1000000~1300000,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,85,ai
KPMG安侯建業聯合會計師事務所,【顧問部】金融科技與機器學習應用 (資料科學家/數據科學家)-317317,"信義區, 台北市, 台灣",https://www.cake.me/companies/KPMG/jobs/7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,cake,cake,7f6c2703-2066-4575-8c08-66d348944a41-consulting-department-financia-e90a166b66daa76729040efaf49039,Monthly Salary TWD 0~0,market: no benchmark for this role family,ml_research,ft,85,ai
MediaTek 聯發科技,Machine Learning - Architect/Researcher/Engineer,"新竹市, 台灣",https://www.cake.me/companies/mediatek/jobs/25dc0b6b-4c02-4896-8d24-33d09bda1dcb-machine-learning-architect-res-d24d7d6737ffe7eee013ac9ea1ec71,cake,cake,25dc0b6b-4c02-4896-8d24-33d09bda1dcb-machine-learning-architect-res-d24d7d6737ffe7eee013ac9ea1ec71,Monthly Salary TWD 0~0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,85,ai
Mlytics 摩速科技有限公司,AI Data Engineer AI 資料工程師,"大安區, 台北市, 台灣",https://www.cake.me/companies/mlytics-2d9fc4/jobs/ai-data-engineer-9ac,cake,cake,ai-data-engineer-9ac,Monthly Salary TWD 0.0~0.0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,85,ai
OpenNet 開網有限公司,Data Scientist,"台北市, 台灣",https://www.cake.me/companies/opennet-limited/jobs/data-scientist-44b,cake,cake,data-scientist-44b,Annual Salary TWD 910000~1800000,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,ft,85,ai
