company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Appier,"AI Engineer, Playable Ads ","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8102280,,greenhouse,8102280,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,5,ai
Appier,Campaign Analyst ,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/1501724,,greenhouse,1501724,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,5,en
Appier,Data Analyst Intern,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7495834,,greenhouse,7495834,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,now_intern,55,en
Appier,"Data Scientist, Analytics","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/1501726,,greenhouse,1501726,not stated,"market: ~NT$100,000/month median Taipei (NT$79,000 at the 25th percentile)",data_science,ft,70,ai
Appier,Digital Advertising Data Analyst,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8118867,,greenhouse,8118867,not stated,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,5,en
Appier,Product Manager / Technical PM — Data Engineering,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8166843,,greenhouse,8166843,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,later_senior,25,ai
Appier,Research Scientist (Generative & Agentic AI),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8076142,,greenhouse,8076142,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,70,ai
Appier,Senior AI Security Engineer ,"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7949831,,greenhouse,7949831,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,Senior Backend Engineer (SRE / Reliability & Performance),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8045764,,greenhouse,8045764,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,Senior Frontend Development Engineer (Enterprise Solutions),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7830101,,greenhouse,7830101,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
